// Grasscutter 3.3.54 GM Handbook
// Created 2023/01/24 10:05:08


// Commands
       account : ユーザーアカウントを変更
      announce : すべてのオンライン プレイヤーにアナウンスを送信するか、サーバーのアナウンスを管理します
         clear : 装備していないまたはロックされてないアイテムをバックの中から消去します｡ デフォルトでは星4以下でレベル1､精錬ランク1以下のアイテムを削除します｡
          coop : 他人の世界に強制的に参加させます。 誰もターゲットにされていない場合は、マルチプレイモードに移行します｡
         daily : This value does not exist. Please report this to the Discord: commands.daily.description
          enka : 🇺🇸Copy your character data from official server to private server using Enka.Network service (data taken only from Showcase)
 enter_dungeon : 秘境に入る｡
        entity : This value does not exist. Please report this to the Discord: commands.entity.description
         equip : 🇺🇸You can replace current character weapon with a weapon that cannot be used by current character due to different types of weapons.
          give : あなたまたは指定されたプレイヤーにアイテムを与えます。 また、すべての武器、アバター、および/または材料を与えることができ、指定した聖遺物を構築することもできます。
          heal : 現在のパーティーのキャラクターのみを回復します｡
          help : ヘルプ メッセージを送信するか、指定したコマンドに関する情報を表示します｡
       killall : 全てのエンティティを殺しました｡
      language : 現在の言語を表示または変更する｡
          list : オンラインのプレイヤーのリスト
    permission : ユーザーの権限を付与または削除します
      position : 位置と回転情報を取得します
         quest : クエストを追加または終了する｡
        reload : サーバー設定を再読み込み
        remote : 🇺🇸Use this to access commands from web
    resetConst : 現在アクティブなキャラクターの星座レベルをリセットします。変更を確認するには、コマンドを使用した後に再ログインする必要があります｡
resetShopLimit : 対象プレイヤーのショップ更新時間をリセットする
      sendMail : 指定したユーザーにメールを送信します。 このコマンドの使用法は、その合成状態に基づいて変化します
   sendMessage : サーバーとしてプレイヤーにメッセージを送信します。 ターゲットなしで使用すると、サーバー上のすべてのプレイヤーに送信されます。
      setConst : 現在アクティブなキャラクターの星座レベルを設定します
setFetterLevel : 現在アクティブなキャラクターの突破レベルを設定します｡
       setProp : アカウント全体のプロパティを設定します。 godmodeのようなものはこの方法で有効にすることができ、アンロックされた深淵の床やバトル パスの進行状況などを変更することもできます。
                    <prop> の値: godmode | nostamina | unlimitedenergy | abyss | worldlevel | bplevel
                    max_spring_volume の形式の他の設定可能な値についてはPlayerPropertyを参照してください｡
      setStats : 現在アクティブ状態のステータスを設定します｡
                     <stat>の値: hp | maxhp | def | atk | em | er | crate | cdmg | cdr | heal | heali | shield | defi
                    (cont.) Elemental DMG Bonus: epyro | ecryo | ehydro | egeo | edendro | eelectro | ephys
                    (cont.) Elemental RES: respyro | rescryo | reshydro | resgeo | resdendro | reselectro | resphys
         spawn : 近くにエンティティをスポーンします｡
          stop : サーバーを停止中
        talent : 現在アクティブなキャラクターの天賦レベルを設定する
          team : チームを手動で変更する.
      teleport : プレイヤーの位置を変更する
   teleportAll : あなたの世界のすべてのプレイヤーをあなたの位置にテレポートします｡
       weather : 天候 ID と気候タイプを変更します。 天気 ID は/Resources/ExcelBinOutput/WeatherExcelConfigData.json にあります。
                気候の種類:sunny, cloudy, rain, thunderstorm, snow, mist


// Gadgets
 40000001 : SteamBangField - [N/A] 2462299317
 40000002 : ThunderFistField - [N/A] 2514862605
 40000003 : GrassDart - [N/A] 1451983429
 40000004 : SharkTorpedo - [N/A] 3969973101
 40000005 : SharkTorpedo_Spurt - [N/A] 2124246485
 40000006 : SharkTorpedo_Spurt_2 - [N/A] 1860700733
 40000007 : CreationLimit_Dummy - [N/A] 1108994533
 40000104 : FrostSpear - [N/A] 257460421
 40000115 : IceSpine_Old - [N/A] 3958668077
 40000116 : IceSpine_Old - [N/A] 2224127421
 40000117 : IceSpine_Old - [N/A] 4213367709
 40000118 : Kevin_RockImpact - [N/A] 1630880053
 40000119 : ModifiedTrigger - [N/A] 2469527653
 40000120 : RockImpactTrap - [N/A] 3689462541
 40000121 : IceSpine_Strike - [N/A] 1972455613
 40000129 : IceSpell_Wards_Trap - [N/A] 911167901
 40000148 : ClawMark_Mark - [N/A] 2094125989
 40000154 : ClawMark_Mark_Lycan - [N/A] 4107466085
 40000160 : AimingArrow_WithoutFire - [N/A] 3909865925
 40000161 : Double_ArrowAiming_WithoutFire - [N/A] 1738440549
 40000172 : Frost_Orb - [N/A] 207969669
 40000173 : Frost_Orb_Bullet - [N/A] 549351861
 40000174 : JumpDrug_Whitbox_01 - [N/A] 40626637
 40000175 : JumpDrug_Whitbox_02 - [N/A] 3161315957
 40000176 : JumpDrug_Whitbox_03 - [N/A] 1621644901
 40000177 : JumpDrug_Whitbox_04 - [N/A] 851441181
 40000178 : EmptyGadget - [N/A] 2220069189
 40000179 : AmborFlyBullet - [N/A] 2361616293
 40010000 : Weapon_Test_Bullet - [N/A] 507118333
 40010001 : Weapon_Arcane_Arrow - [N/A] 2338898605
 40010002 : Weapon_AttackWave - [N/A] 2743839749
 40010003 : Weapon_WindBall - [N/A] 4248289813
 40010004 : Weapon_Arcane_Bullet - [N/A] 2910401461
 40010005 : Weapon_BouncingBall - [N/A] 3440521261
 40010006 : Weapon_PiercingLight - [N/A] 188970029
 40010007 : Weapon_SkySword - [N/A] 3518036053
 40010008 : Weapon_Bullet_Yang - [N/A] 2239148445
 40010009 : Weapon_Bullet_Yin - [N/A] 1776519925
 40010010 : Weapon_Lanternrite_Bright - [N/A] 2353756749
 40010011 : Weapon_Lanternrite_Dark - [N/A] 4157062861
 40010012 : Weapon_Dvalin_Wave - [N/A] 2045924981
 40010013 : Weapon_Claymore_Dragonfell_Bullet - [N/A] 1035990413
 40010014 : Weapon_Pole_Dragonfell_Bullet - [N/A] 4120233589
 40010015 : Weapon_Catalyst_Dragonfell_Bullet - [N/A] 1466778581
 40010016 : Weapon_Sword_Youtou_Bullet1 - [N/A] 3740702781
 40010017 : Weapon_Sword_Youtou_Bullet2 - [N/A] 2685041645
 40010018 : Weapon_Sword_Youtou_Bullet3 - [N/A] 2592298181
 40020000 : Weapon_Test_Gadget - [N/A] 2415590997
 40020001 : Weapon_HealField - [N/A] 639217677
 40020002 : Weapon_AttractField - [N/A] 454222205
